,ind,id,timestp,url,curr_price
51,52,3,2021-10-17 20:38:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
52,53,1,2021-10-17 20:48:44,https://www.amazon.com/dp/B0919XS2W7,49.0
53,54,2,2021-10-17 20:48:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
54,55,3,2021-10-17 20:48:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
55,56,1,2021-10-17 20:58:44,https://www.amazon.com/dp/B0919XS2W7,49.0
56,57,2,2021-10-17 20:58:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
57,58,3,2021-10-17 20:58:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
58,59,1,2021-10-17 21:08:44,https://www.amazon.com/dp/B0919XS2W7,49.0
59,60,2,2021-10-17 21:08:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
60,61,3,2021-10-17 21:08:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
61,62,1,2021-10-17 21:18:44,https://www.amazon.com/dp/B0919XS2W7,49.0
62,63,2,2021-10-17 21:18:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
63,64,3,2021-10-17 21:18:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
64,65,1,2021-10-17 21:28:44,https://www.amazon.com/dp/B0919XS2W7,49.0
65,66,2,2021-10-17 21:28:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
66,67,3,2021-10-17 21:28:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
67,68,1,2021-10-17 21:38:45,https://www.amazon.com/dp/B0919XS2W7,49.0
68,69,2,2021-10-17 21:38:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
69,70,3,2021-10-17 21:38:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
70,71,1,2021-10-17 22:28:44,https://www.amazon.com/dp/B0919XS2W7,49.0
71,72,2,2021-10-17 22:28:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
72,73,3,2021-10-17 22:28:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
73,74,1,2021-10-17 22:48:45,https://www.amazon.com/dp/B0919XS2W7,49.0
74,75,2,2021-10-17 22:48:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
75,76,3,2021-10-17 22:48:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
76,77,1,2021-10-17 22:58:45,https://www.amazon.com/dp/B0919XS2W7,49.0
77,78,2,2021-10-17 22:58:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
78,79,3,2021-10-17 22:58:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
79,80,1,2021-10-17 23:08:44,https://www.amazon.com/dp/B0919XS2W7,49.0
80,81,2,2021-10-17 23:08:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
81,82,3,2021-10-17 23:08:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
82,83,1,2021-10-17 23:18:45,https://www.amazon.com/dp/B0919XS2W7,49.0
83,84,2,2021-10-17 23:18:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
84,85,3,2021-10-17 23:18:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
85,86,1,2021-10-17 23:28:44,https://www.amazon.com/dp/B0919XS2W7,49.0
86,87,2,2021-10-17 23:28:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
87,88,3,2021-10-17 23:28:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
88,89,1,2021-10-17 23:38:45,https://www.amazon.com/dp/B0919XS2W7,49.0
89,90,2,2021-10-17 23:38:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
90,91,3,2021-10-17 23:38:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
91,92,1,2021-10-17 23:48:44,https://www.amazon.com/dp/B0919XS2W7,49.0
92,93,2,2021-10-17 23:48:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
93,94,3,2021-10-17 23:48:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
94,95,1,2021-10-17 23:58:44,https://www.amazon.com/dp/B0919XS2W7,49.0
95,96,2,2021-10-17 23:58:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
96,97,3,2021-10-17 23:58:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
97,98,1,2021-10-18 00:08:44,https://www.amazon.com/dp/B0919XS2W7,49.0
98,99,2,2021-10-18 00:08:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
99,100,3,2021-10-18 00:08:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
100,101,1,2021-10-18 00:18:44,https://www.amazon.com/dp/B0919XS2W7,49.0
101,102,2,2021-10-18 00:18:44,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
102,103,3,2021-10-18 00:18:44,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
103,104,1,2021-10-18 00:28:45,https://www.amazon.com/dp/B0919XS2W7,49.0
104,105,2,2021-10-18 00:28:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
105,106,3,2021-10-18 00:28:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
106,107,1,2021-10-18 00:38:45,https://www.amazon.com/dp/B0919XS2W7,49.0
107,108,2,2021-10-18 00:38:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
108,109,3,2021-10-18 00:38:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
109,110,1,2021-10-18 00:48:45,https://www.amazon.com/dp/B0919XS2W7,49.0
110,111,2,2021-10-18 00:48:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
111,112,3,2021-10-18 00:48:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
112,113,1,2021-10-18 01:28:45,https://www.amazon.com/dp/B0919XS2W7,49.0
113,114,2,2021-10-18 01:28:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
114,115,3,2021-10-18 01:28:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
115,116,1,2021-10-18 01:38:45,https://www.amazon.com/dp/B0919XS2W7,49.0
116,117,2,2021-10-18 01:38:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
117,118,3,2021-10-18 01:38:45,https://www.amazon.com/dp/B06ZXYFYND?ref=nb_sb_ss_w_as-ypp-rep_ypp_rep_k0_1_15&amp&crid=MMLWLDL6FJ2E&amp&sprefix=bed+frame+zinus,74.98
118,119,1,2021-10-18 01:48:45,https://www.amazon.com/dp/B0919XS2W7,49.0
119,120,2,2021-10-18 01:48:45,https://www.amazon.com/Jordan-Mens-Air-554724-Metallic/dp/B092PLHRS7?th=1&psc=1,259.89
